Date,^TWII
1997-07-31,10066.302734375
1997-08-31,9827.4453125
1997-09-30,8708.7900390625
1997-10-31,7313.3662109375
1997-11-30,7797.154296875
1997-12-31,8187.232421875
1998-01-31,8085.4326171875
1998-02-28,9202.517578125
1998-03-31,9091.1181640625
1998-04-30,8304.169921875
1998-05-31,7903.302734375
1998-06-30,7548.77490234375
1998-07-31,7653.474609375
1998-08-31,6550.07958984375
1998-09-30,6833.91845703125
1998-10-31,7101.427734375
1998-11-30,7177.18701171875
1998-12-31,6418.400390625
1999-01-31,5983.97265625
1999-02-28,6318.49072265625
1999-03-31,6881.6884765625
1999-04-30,7371.13623046875
1999-05-31,7316.5361328125
1999-06-30,8467.330078125
1999-07-31,7413.07568359375
1999-08-31,8157.6923828125
1999-09-30,7598.7548828125
1999-10-31,7706.634765625
1999-11-30,7720.8349609375
1999-12-31,8448.7998046875
2000-01-31,9744.8447265625
2000-02-29,9435.8984375
2000-03-31,9854.9052734375
2000-04-30,8824.3203125
2000-05-31,8939.478515625
2000-06-30,8265.0498046875
2000-07-31,8114.88232421875
2000-08-31,7616.94482421875
2000-09-30,6432.330078125
2000-10-31,5544.1552734375
2000-11-30,5256.90625
2000-12-31,4743.91845703125
2001-01-31,5936.1728515625
2001-02-28,5674.66455078125
2001-03-31,5797.89404296875
2001-04-30,5381.6455078125
2001-05-31,5048.83642578125
2001-06-30,4883.40771484375
2001-07-31,4352.9599609375
2001-08-31,4509.41943359375
2001-09-30,3636.923095703125
2001-10-31,3903.47216796875
2001-11-30,4441.099609375
2001-12-31,5551.21533203125
2002-01-31,5872.11328125
2002-02-28,5696.08447265625
2002-03-31,6167.44140625
2002-04-30,6065.7021484375
2002-05-31,5675.62451171875
2002-06-30,5153.68603515625
2002-07-31,4940.357421875
2002-08-31,4764.91845703125
2002-09-30,4191.7900390625
2002-10-31,4579.119140625
2002-11-30,4646.6689453125
2002-12-31,4452.4296875
2003-01-31,5015.13671875
2003-02-28,4432.43994140625
2003-03-31,4321.2001953125
2003-04-30,4148.0498046875
2003-05-31,4555.87890625
2003-06-30,4872.12744140625
2003-07-31,5318.31591796875
2003-08-31,5650.8046875
2003-09-30,5611.384765625
2003-10-31,6045.09228515625
2003-11-30,5771.744140625
2003-12-31,5890.6630859375
2004-01-31,6375.35009765625
2004-02-29,6750.5087890625
2004-03-31,6522.15966796875
2004-04-30,6117.7822265625
2004-05-31,5977.8125
2004-06-30,5839.4130859375
2004-07-31,5420.544921875
2004-08-31,5765.51416015625
2004-09-30,5845.6630859375
2004-10-31,5705.90478515625
2004-11-30,5844.73291015625
2004-12-31,6139.662109375
2005-01-31,5994.2021484375
2005-02-28,6207.80126953125
2005-03-31,6005.85205078125
2005-04-30,5818.04345703125
2005-05-31,6011.5322265625
2005-06-30,6241.9111328125
2005-07-31,6311.95068359375
2005-08-31,6033.4423828125
2005-09-30,6118.58203125
2005-10-31,5764.27392578125
2005-11-30,6203.44140625
2005-12-31,6548.3095703125
2006-01-31,6532.14990234375
2006-02-28,6561.599609375
2006-03-31,6613.93994140625
2006-04-30,7171.73681640625
2006-05-31,6846.91845703125
2006-06-30,6704.37890625
2006-07-31,6454.55029296875
2006-08-31,6611.73974609375
2006-09-30,6883.01806640625
2006-10-31,7021.2880859375
2006-11-30,7567.68505859375
2006-12-31,7823.68408203125
2007-01-31,7699.60498046875
2007-02-28,7901.9228515625
2007-03-31,7884.373046875
2007-04-30,7875.38330078125
2007-05-31,8144.91259765625
2007-06-30,8883.1689453125
2007-07-31,9287.2080078125
2007-08-31,8982.119140625
2007-09-30,9411.908203125
2007-10-31,9711.3251953125
2007-11-30,8586.3603515625
2007-12-31,8506.240234375
2008-01-31,7521.09521484375
2008-02-29,8412.7197265625
2008-03-31,8572.5498046875
2008-04-30,8919.87890625
2008-05-31,8619.0400390625
2008-06-30,7523.50537109375
2008-07-31,7024.0283203125
2008-08-31,7046.078125
2008-09-30,5719.25439453125
2008-10-31,4870.6376953125
2008-11-30,4460.4697265625
2008-12-31,4591.19921875
2009-01-31,4247.9501953125
2009-02-28,4557.12890625
2009-03-31,5210.81591796875
2009-04-30,5992.5419921875
2009-05-31,6890.408203125
2009-06-30,6432.13037109375
2009-07-31,7077.677734375
2009-08-31,6825.9189453125
2009-09-30,7509.1357421875
2009-10-31,7340.04638671875
2009-11-30,7582.1748046875
2009-12-31,8188.072265625
2010-01-31,7640.40478515625
2010-02-28,7436.06591796875
2010-03-31,7920.02294921875
2010-04-30,8004.21240234375
2010-05-31,7373.94580078125
2010-06-30,7329.33642578125
2010-07-31,7760.59423828125
2010-08-31,7616.24462890625
2010-09-30,8237.740234375
2010-10-31,8287.0498046875
2010-11-30,8372.4404296875
2010-12-31,8972.458984375
2011-01-31,9145.3076171875
2011-02-28,8599.6103515625
2011-03-31,8683.259765625
2011-04-30,9007.8291015625
2011-05-31,8988.798828125
2011-06-30,8652.5498046875
2011-07-31,8644.1396484375
2011-08-31,7741.32421875
2011-09-30,7225.3466796875
2011-10-31,7587.65478515625
2011-11-30,6904.08837890625
2011-12-31,7072.04833984375
2012-01-31,7517.04541015625
2012-02-29,8121.40234375
2012-03-31,7932.962890625
2012-04-30,7501.68603515625
2012-05-31,7301.46630859375
2012-06-30,7296.24609375
2012-07-31,7270.45654296875
2012-08-31,7397.02587890625
2012-09-30,7715.125
2012-10-31,7166.01708984375
2012-11-30,7580.134765625
2012-12-31,7699.46484375
2013-01-31,7849.98388671875
2013-02-28,7897.94287109375
2013-03-31,7918.57275390625
2013-04-30,8093.62255859375
2013-05-31,8254.759765625
2013-06-30,8062.17236328125
2013-07-31,8107.90234375
2013-08-31,8021.8525390625
2013-09-30,8173.83251953125
2013-10-31,8450.01953125
2013-11-30,8406.7900390625
2013-12-31,8611.4697265625
2014-01-31,8462.5302734375
2014-02-28,8639.5400390625
2014-03-31,8849.240234375
2014-04-30,8791.400390625
2014-05-31,9075.8681640625
2014-06-30,9393.0283203125
2014-07-31,9315.8076171875
2014-08-31,9436.2275390625
2014-09-30,8966.87890625
2014-10-31,8974.71875
2014-11-30,9187.1083984375
2014-12-31,9307.2177734375
2015-01-31,9361.8681640625
2015-02-28,9622.0556640625
2015-03-31,9586.396484375
2015-04-30,9820.0048828125
2015-05-31,9701.025390625
2015-06-30,9322.9775390625
2015-07-31,8665.2998046875
2015-08-31,8174.88232421875
2015-09-30,8181.20263671875
2015-10-31,8554.26953125
2015-11-30,8320.5703125
2015-12-31,8338.01953125
2016-01-31,8080.5625
2016-02-29,8411.1328125
2016-03-31,8744.802734375
2016-04-30,8377.873046875
2016-05-31,8535.5625
2016-06-30,8666.5595703125
2016-07-31,8984.388671875
2016-08-31,9068.8291015625
2016-09-30,9166.8291015625
2016-10-31,9290.099609375
2016-11-30,9240.6953125
2016-12-31,9253.4931640625
2017-01-31,9447.943359375
2017-02-28,9750.462890625
2017-03-31,9811.5126953125
2017-04-30,9871.9931640625
2017-05-31,10040.7197265625
2017-06-30,10395.0703125
2017-07-31,10427.330078125
2017-08-31,10585.7802734375
2017-09-30,10329.9404296875
2017-10-31,10793.7998046875
2017-11-30,10560.4404296875
2017-12-31,10642.8603515625
2018-01-31,11103.7900390625
2018-02-28,10815.4697265625
2018-03-31,10906.2197265625
2018-04-30,10657.8798828125
2018-05-31,10874.9599609375
2018-06-30,10836.91015625
2018-07-31,11057.509765625
2018-08-31,11063.9404296875
2018-09-30,11006.33984375
2018-10-31,9802.1298828125
2018-11-30,9888.0302734375
2018-12-31,9727.41015625
2019-01-31,9932.259765625
2019-02-28,10389.169921875
2019-03-31,10641.0400390625
2019-04-30,10967.73046875
2019-05-31,10498.490234375
2019-06-30,10730.830078125
2019-07-31,10823.8095703125
2019-08-31,10618.0498046875
2019-09-30,10829.6796875
2019-10-31,11358.7099609375
2019-11-30,11489.5703125
2019-12-31,11997.1396484375
2020-01-31,11495.099609375
2020-02-29,11292.169921875
2020-03-31,9708.0595703125
2020-04-30,10992.1396484375
2020-05-31,10942.16015625
2020-06-30,11621.240234375
2020-07-31,12664.7998046875
2020-08-31,12591.4501953125
2020-09-30,12515.6103515625
2020-10-31,12546.33984375
2020-11-30,13722.8896484375
2020-12-31,14732.5302734375
2021-01-31,15138.3095703125
2021-02-28,15953.7998046875
2021-03-31,16431.130859375
2021-04-30,17566.66015625
2021-05-31,17068.4296875
2021-06-30,17755.4609375
2021-07-31,17247.41015625
2021-08-31,17490.2890625
2021-09-30,16934.76953125
2021-10-31,16987.41015625
2021-11-30,17427.759765625
2021-12-31,18218.83984375
2022-01-31,17674.400390625
2022-02-28,17652.1796875
2022-03-31,17693.470703125
2022-04-30,16592.1796875
2022-05-31,16807.76953125
2022-06-30,14825.73046875
2022-07-31,15000.0703125
2022-08-31,15095.4404296875
2022-09-30,13424.580078125
2022-10-31,12949.75
2022-11-30,14879.5498046875
2022-12-31,14137.6904296875
2023-01-31,15265.2001953125
2023-02-28,15503.7900390625
2023-03-31,15868.0595703125
2023-04-30,15579.1796875
2023-05-31,16578.9609375
2023-06-30,16915.5390625
2023-07-31,17145.4296875
2023-08-31,16634.509765625
2023-09-30,16353.740234375
2023-10-31,16001.26953125
2023-11-30,17433.849609375
2023-12-31,17930.810546875
2024-01-31,17889.560546875
2024-02-29,18966.76953125
2024-03-31,20294.44921875
2024-04-30,20396.599609375
2024-05-31,21174.220703125
2024-06-30,23032.25
2024-07-31,22199.349609375
2024-08-31,22268.08984375
2024-09-30,22224.5390625
2024-10-31,22820.4296875
2024-11-30,22262.5
2024-12-31,23035.099609375
2025-01-31,23525.41015625
2025-02-28,23053.1796875
2025-03-31,20695.900390625
2025-04-30,20235.029296875
2025-05-31,21347.30078125
2025-06-30,22256.01953125
2025-07-31,23542.51953125
2025-08-31,24233.099609375
2025-09-30,25820.5390625
2025-10-31,28233.349609375
2025-11-30,27626.48046875
2025-12-31,28963.599609375
2026-01-31,32063.75
2026-02-28,33605.7109375
